GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US48209,48209,"Hays County, Texas",141480,*****
0500000US48453,48453,"Travis County, Texas",974365,*****
0500000US48491,48491,"Williamson County, Texas",373363,*****
