VALUE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Median (dollars),182133,180400,184833,189233,185567,192033,203667,213767,236000,256200
Per capita personal income (dollars) 2/,37399.33333,39213.66667,36980.33333,37788.66667,40167.33333,41676.66667,42026.66667,44571,46901.66667,47430.33333
