MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Housing units with a mortgage,150996,150997,156741,157026,149584,146190,154586,156793,155971,157907,166317
Less than $500,857,832,632,712,514,501,1023,1687,899,546,357
$500 to $999,18145,16477,15529,16685,12510,13306,12646,14399,13862,9017,9494
"$1,000 to $1,499",49531,47810,47547,47817,44613,44005,49733,45131,42373,41803,40075
"$1,500 to $1,999",40015,39008,39542,37040,37382,35174,35969,37811,39640,42727,41808
"$2,000 or more",42448,46870,53491,54772,54565,54204,55215,57920,59197,63814,74583
Median (dollars),1574,1613,1663,1658,1717,1709,1675,1701,1733,1800,1871
