HOUSING TENURE,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Occupied housing units,366784,368578,381307,391589,403638,410683,414318,428889,437375,446342,457810
Owner-occupied,198701,199550,206170,207109,206912,205261,213091,221657,223202,227913,236286
Renter-occupied,168083,169028,175137,184480,196726,205422,201227,207232,214173,218429,221524
