VALUE,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Less than $50,000",8897,7512,7736,7649,7410,7412,9020,10712,12985,7235,5572
"$50,000 to $99,999",18347,18028,15691,14143,13129,11739,13422,13092,10119,9705,8700
"$100,000 to $149,999",50056,46967,43131,37195,33914,37200,34375,32284,24201,19838,16049
"$150,000 to $199,999",40863,41443,41547,41135,41736,37408,40846,36017,38152,32704,29374
"$200,000 to $299,999",32828,37536,40255,43696,44688,43333,44592,50670,50158,55270,56789
"$300,000 to $499,999",29622,30487,35593,39088,42735,42424,42352,47796,48863,55897,67208
"$500,000 to $999,999",13952,13886,17436,19488,18453,21081,22848,24463,31191,38751,41388
"$1,000,000 or more",4136,3691,4781,4715,4847,4664,5636,6623,7533,8513,11206
Median (dollars),178900,192600,206600,214100,217900,217600,231700,245600,277100,304100
