GROSS RENT,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Less than $200,1997,1862,1777,1659,601,2676,1889,1950,1003,6273,8045
$200 to $299,1549,1530,1665,1684,2672,2027,1789,1676,2002,68144,55556
$300 to $499,8227,7095,5623,5851,5600,4048,4599,4709,4225,92284,94465
$500 to $749,56099,54854,47118,46090,45468,42619,34640,25207,21714,34184,41264
$750 to $999,53449,54346,56939,61615,62546,64301,59801,65435,57273,8539,10602
"$1,000 to $1,499",32683,34017,43332,48991,57006,61541,64609,72205,83031,2031,3419
"$1,500 or more",10689,11533,15102,15098,19096,22902,28961,32560,40823,2710,2711
No cash rent,3390,3791,871,885,3737,5308,4939,3490,4102,4264,5462
Median (dollars),803,816,3581,3492,918,918,981,1017,1092,1147,1191
