HOUSING OCCUPANCY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total housing units,404835,405281,418425,428146,442335,447125,450876,461551,474957,486544,499033
Occupied housing units,366784,368578,381307,391589,403638,410683,414318,428889,437375,446342,457810
Vacant housing units,38051,36703,37118,36557,38697,36442,36558,32662,37582,40202,41223
Homeowner vacancy rate,1.8,2.2,2.6,2.7,2.1,3.5,1.6,1.3,1.1,1.6,1.7
Rental vacancy rate,9.2,9.2,7.9,7.3,6.6,4.6,4.5,4.4,4.6,6.7,6.2
