"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"48209","Hays, TX","1","Personal income (thousands of dollars)",4532280,4994381,4933230,5147630,5621553,5690865,5998207,6694070,7480965,7956341
"48209","Hays, TX","2","Population (persons) 1/",140480,147674,153619,158241,163209,168408,176029,184951,194574,204470
"48209","Hays, TX","3","Per capita personal income (dollars) 2/",32263,33820,32113,32530,34444,33792,34075,36194,38448,38912
"Legend / Footnotes:"
"1/ Census Bureau midyear population estimates. Estimates for 2010-2016 reflect county population estimates available as of March 2017."
"2/ Per capita personal income was computed using Census Bureau midyear population estimates. Estimates for 2010-2016 reflect county population estimates available as of March 2017."
"Note-- All dollar estimates are in current dollars (not adjusted for inflation)."
"Last updated: November 16, 2017-- new estimates for 2016; revised estimates for 2010-2015."
